TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39627871995560874,3050,910,0012,n/a,2.7049264907836914,0.9999902248382568
39628263064078717,1427,3861,0012,n/a,2.1363816261291504,0.9999983310699463
39627890827988874,5245,564,0012,n/a,3.049860954284668,0.822679340839386
39627734086848420,100082,1862,0012,n/a,2.5512146949768066,0.7018114328384399
39627788143037208,11484,4886,0012,n/a,2.3256773948669434,0.8544352054595947
39628405238399801,102684,4992,0012,n/a,2.193071126937866,0.9982874989509583
39627673537871919,5808,2033,0012,n/a,2.1753032207489014,0.970058023929596
39627791079055544,2750,3124,0012,n/a,2.1251466274261475,0.9998388290405273
39627897442406748,9030,4210,0012,n/a,2.270256280899048,0.9999550580978394
39627905621296610,3610,2564,0012,n/a,2.4859228134155273,0.551484227180481
39627733860352628,5819,2106,0012,n/a,2.210228681564331,0.9999971389770508
39627594613656224,8814,1728,0012,n/a,2.4615261554718018,0.9980577826499939
39628289781794118,10738,2747,0012,n/a,2.270914316177368,0.9999996423721313
39628301035112999,10738,2793,0012,n/a,2.617870330810547,0.9999144077301025
39627763304366245,2578,3753,0012,n/a,2.4800000190734863,0.9146225452423096
39632981375059480,3758,903,0012,n/a,3.375710964202881,0.9995126724243164
39628407117448011,4386,290,0012,n/a,2.3302838802337646,0.8427441716194153
39633095242025743,9443,2770,0012,n/a,2.412733554840088,0.681422770023346
39628528148285344,1243,1711,0013,n/a,2.0367743968963623,0.9932799935340881
39627812419667552,8922,2121,0013,n/a,2.4859228134155273,0.996702253818512
39628078577615887,2227,4764,0013,n/a,2.844724178314209,0.9999992847442627
39628034529034425,8327,2233,0013,n/a,2.4826323986053467,0.8171918392181396
39627351427909630,9107,4695,0013,n/a,2.358628273010254,0.9990147352218628
39627685625859353,5807,548,0013,n/a,2.543975830078125,0.9469612836837769
39628364872421243,101186,2526,0013,n/a,1.9860076904296875,0.9975027441978455
39627883420849574,10236,352,0013,n/a,2.2669661045074463,0.9999651908874512
39627787157376402,2519,3752,0013,n/a,2.2056221961975098,0.9995198249816895
39627824247603969,5246,2201,0013,n/a,2.350731611251831,0.9999996423721313
39627824050474954,55,3466,0013,n/a,2.1779356002807617,0.9999796152114868
