TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39633200028320320,1650,2843,0008,6,2.231992721557617,0.9342749118804932
39627909677193940,2977,400,0008,87,2.365915060043335,0.9150013327598572
39628502672081232,5047,223,0008,14,3.2972097396850586,0.9980373978614807
39633063809912282,3322,1796,0008,105,2.4654746055603027,0.9985999464988708
39627913548531891,10236,3954,0008,77,2.703610420227051,0.9823295474052429
39627771831391884,1835,4816,0008,28,2.7946152687072754,0.9999955892562866
39627639807280496,3106,236,0008,95,2.1211981773376465,0.9860904216766357
39628230684049920,3580,1174,0008,118,2.0954856872558594,0.8518219590187073
39627775669179880,31,4750,0008,53,2.0288772583007812,0.9974713325500488
39628029256799469,1211,137,0008,73,2.485264539718628,0.9995961785316467
39628428592290197,1244,2128,0008,100,2.3401548862457275,0.9994945526123047
39627733696777054,80977,3225,0009,124,2.1020665168762207,0.9947285056114197
39627799929032277,8382,3035,0009,124,2.3441507816314697,1.0
39627957399978637,5828,4703,0009,10,2.2834651470184326,1.0
39628063037721138,7079,4439,0009,124,2.231992721557617,0.9736169576644897
39627688712868162,80605,1970,0009,58,2.3612608909606934,0.9136002659797668
39627694916241662,11058,3724,0009,124,2.270914316177368,0.7850732803344727
39627720610547632,7216,4774,0009,124,2.4701287746429443,1.0
39627854756975157,8925,4092,0009,17,2.5472662448883057,0.9999979734420776
39627958851212414,11210,4508,0009,20,2.469470977783203,0.9997730851173401
39627897396270406,7522,3565,0009,46,2.7735092639923096,0.9982413053512573
39627889892658622,11932,94,0009,34,2.56113338470459,0.9783468246459961
39627594592686058,8811,4075,0009,28,2.0446712970733643,0.9941588640213013
39627793369138180,5641,4962,0009,22,1.9774048328399658,0.7991325855255127
39627812419667552,8922,2121,0009,97,2.4859228134155273,0.996702253818512
39627758178928842,222,4164,0010,124,2.0136942863464355,0.989794909954071
39627409036682943,10534,1578,0010,124,2.086883306503296,0.811450719833374
39628098722860659,10202,4947,0010,124,3.245079517364502,0.8516635298728943
39627791079055544,2750,3124,0010,124,2.1251466274261475,0.9998388290405273
39627806019163492,6279,3891,0010,76,3.1369171142578125,1.0
39628035229483780,9026,4425,0010,-1,3.1936545372009277,0.9995453953742981
39633030037373993,8413,4410,0010,2,2.1832001209259033,0.569032609462738
39627932473230643,4582,1023,0010,9,2.2788586616516113,0.5274149775505066
39627996037910016,9518,1793,0010,51,2.426600694656372,0.9136591553688049
39632971883349729,387,1884,0010,6,3.1197595596313477,0.7904647588729858
39627799882893809,7719,3645,0010,42,2.7365617752075195,0.9992499947547913
39627924206259957,9501,4918,0010,111,2.809140205383301,0.9996521472930908
39628384153637046,10709,4523,0010,34,2.3283095359802246,0.7211310863494873
39627787748771779,5984,3034,0010,79,2.319706916809082,0.9960159659385681
39632951272539263,6907,3692,0010,78,2.3401548862457275,0.9145997166633606
39627533435540167,7176,478,0010,55,2.3237030506134033,0.9998376369476318
39627671285536588,11874,4012,0010,106,2.49123477935791,0.5126937031745911
39627701169948507,4005,2395,0010,56,2.2597272396087646,0.9443889856338501
39628219413955459,6255,3442,0010,50,2.221463680267334,0.9405460357666016
39627787811685006,56,3504,0010,71,2.2484922409057617,0.9825770258903503
39627799895474772,56,3821,0010,67,2.800537586212158,0.802290141582489
39627733696777054,3158,2562,0010,112,2.1020665168762207,0.9947285056114197
39627673504318688,6288,3430,0011,0,2.096801996231079,0.6809402108192444
39628134483497912,9271,4431,0011,-1,2.0862252712249756,0.9999992847442627
39627763354699935,10858,4841,0011,0,2.292020082473755,0.987032413482666
39628476344438742,1245,587,0011,0,2.9509119987487793,0.987898051738739
39627836717269763,272,4417,0011,0,2.3553380966186523,0.9999673366546631
39627689123908675,2507,4553,0011,-1,2.0862252712249756,0.997083842754364
39627971853549991,9846,1049,0011,0,2.1390137672424316,0.9855400919914246
39628116427014529,8671,2905,0011,0,2.360602617263794,0.9995013475418091
39632970079798901,11354,3477,0011,0,2.5650815963745117,0.6370013356208801
39627697361523849,7849,3712,0011,0,2.8770651817321777,0.9570006132125854
39632981354087730,11580,1840,0011,0,2.41536545753479,0.9999923706054688
39627919663826423,2379,110,0011,0,2.4536292552948,1.0
39628519461884983,6012,2742,0011,0,2.0835928916931152,0.9654341340065002
39627666621465900,7241,4942,0011,0,3.1019911766052246,0.9999552965164185
