TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
80648,sv1,bright,bgsmws,4,2400.243378,1.460562,,1.175718,0.970786,19.891597,20.223116,19.795578,18.818393,0.051710
80649,sv1,bright,bgsmws,7,4156.726959,1.075495,,1.545586,0.903887,20.374930,20.680130,20.206668,19.052957,0.025833
80650,sv1,bright,bgsmws,22,8411.619659,1.599605,,1.115600,0.902420,19.914919,20.528267,20.033538,18.795558,0.029354
80651,sv1,bright,bgsmws,10,5623.920837,1.061668,,1.522423,0.837520,20.236944,20.770321,20.280646,19.109229,0.018719
80652,sv1,bright,bgsmws,7,5474.030365,1.318857,,1.484338,0.979779,20.524004,20.519965,20.310993,19.167360,0.011674
80653,sv1,bright,bgsmws,11,3300.816040,1.019406,,0.964148,0.954530,20.689464,21.324995,20.608940,19.022560,0.012680
80654,sv1,bright,bgsmws,11,4112.665405,1.023094,,0.999236,0.882893,20.131794,20.680043,20.197655,19.183513,0.025017
80655,sv1,bright,bgsmws,17,7019.543579,1.574009,,1.265713,0.968086,19.939646,20.375760,20.027962,18.996120,0.022419
80656,sv1,bright,bgsmws,11,4209.349762,1.046060,,1.126471,0.840195,20.054298,20.391987,20.025333,19.140586,0.012313
80657,sv1,bright,bgsmws,7,5931.388123,1.333988,,1.693381,0.995465,20.371887,20.582315,20.344841,19.117958,0.029791
80658,sv1,bright,bgsmws,12,8488.758789,1.076079,,1.578022,0.863685,20.206489,20.201705,19.929423,18.973962,0.016832
80659,sv1,bright,bgsmws,15,9949.040924,1.200461,,2.107719,0.875677,20.092237,20.339414,20.088119,18.950584,0.023806
80660,sv1,bright,bgsmws,15,5614.094330,1.086419,,0.884553,0.892886,19.516690,19.779574,19.490423,18.843955,0.017377
80661,sv1,bright,bgsmws,11,5116.057098,1.306619,,1.236961,0.978071,19.994757,20.360664,19.960021,18.736010,0.017848
